Key,Prediction,Borough,Neighborhood
47_1190.00,3.839527453,Brooklyn,East New York
47_1200.00,3.83093562,Brooklyn,East New York
61_267.00,3.816496932,Manhattan,Washington Heights
81_711.00,3.791635275,Queens,Forest Hills Gardens
81_629.00,3.791217272,Queens,Glendale
47_512.00,3.790168288,Brooklyn,Prospect Park South
47_502.02,3.790156112,Brooklyn,Windsor Terrace
47_738.00,3.787651138,Brooklyn,Flatlands
47_284.00,3.787635448,Brooklyn,Bath Beach
47_862.00,3.776919387,Brooklyn,East Flatbush
81_283.00,3.770162639,Queens,Jackson Heights
47_200.00,3.770121199,Brooklyn,Dyker Heights
47_970.00,3.769419958,Brooklyn,Canarsie
81_62.00,3.758289582,Queens,Lindenwood
81_134.00,3.744199915,Queens,Kew Gardens
81_657.01,3.742293655,Queens,Middle Village
47_824.00,3.732748857,Brooklyn,Flatbush
81_618.00,3.726961107,Queens,Laurelton
81_214.00,3.717749527,Queens,Briarwood
47_1118.00,3.705447529,Brooklyn,East New York
47_252.00,3.701710604,Brooklyn,Bensonhurst
47_422.00,3.699013987,Brooklyn,Homecrest
81_713.02,3.697492559,Queens,Rego Park
47_522.00,3.696939278,Brooklyn,Prospect Park South
47_524.00,3.696034718,Brooklyn,Prospect Park South
47_1152.00,3.691970212,Brooklyn,East New York
47_426.00,3.68308552,Brooklyn,Gravesend
81_991.00,3.671514599,Queens,Whitestone
81_216.00,3.67120701,Queens,Kew Gardens
47_686.00,3.670159527,Brooklyn, Mill Basin
81_264.00,3.656255248,Queens,Jamaica
81_757.00,3.647144971,Queens,Rego Park
81_1507.02,3.644224369,Queens,Douglaston / Little Neck
81_655.00,3.643678109,Queens,Middle Village
81_693.00,3.64110978,Queens,Rego Park
47_94.00,3.635940036,Brooklyn,Sunset Park
81_1551.02,3.634001977,Queens,Glen Oaks
47_944.02,3.629427353,Brooklyn,Canarsie
81_500.00,3.623262218,Queens,Hollis
47_552.00,3.619246786,Brooklyn,Manhattan Terrace
47_216.00,3.618548679,Brooklyn,Borough Park
61_142.00,3.617813098,Manhattan,Gold Coast - Upper East Side
47_880.00,3.612717071,Brooklyn,Wingate
47_210.00,3.611017889,Brooklyn,Dyker Heights
47_76.00,3.586416382,Brooklyn,Sunset Park
81_1139.00,3.584895094,Queens,Auburndale
81_717.00,3.584760729,Queens,Rego Park
47_776.00,3.58202249,Brooklyn,Flatlands
47_816.00,3.581003735,Brooklyn,East Flatbush
81_863.00,3.579058439,Queens,Murray Hill (Queens)
47_586.00,3.578804371,Brooklyn,Sheepshead Bay
81_938.00,3.577116449,Queens,Rockaway Park / Seaside
81_616.02,3.571152884,Queens,Rosedale
47_902.00,3.567214166,Brooklyn,Brownsville
47_416.00,3.566391386,Brooklyn,Sheepshead Bay
81_269.00,3.565082902,Queens,Elmhurst
81_220.02,3.54759671,Queens,Briarwood
81_695.00,3.542602265,Queens,Rego Park
47_550.00,3.53840305,Brooklyn,Manhattan Terrace
81_464.00,3.535683755,Queens,Jamaica Estates
47_922.00,3.534571617,Brooklyn,Brownsville
81_769.01,3.528874044,Queens,Forest Hills Gardens
47_1220.00,3.52587515,Brooklyn,East New York
81_1097.00,3.524399677,Queens,Bayside
81_138.00,3.522741143,Queens,Kew Gardens
47_114.00,3.516675474,Brooklyn,Sunset Park
47_600.00,3.513329438,Brooklyn,Sheepshead Bay
47_790.00,3.51332156,Brooklyn,Flatbush
47_784.00,3.509653981,Brooklyn,Farragut
47_868.00,3.506347192,Brooklyn,East Flatbush
81_721.00,3.501384849,Queens,Rego Park
47_192.00,3.499409328,Brooklyn,Borough Park
47_406.00,3.497724492,Brooklyn,Gravesend
61_10.02,3.49510902,Manhattan,Lower East Side
47_258.00,3.494042835,Brooklyn,Bensonhurst
47_580.00,3.493628611,Brooklyn,Sheepshead Bay
81_401.00,3.492529985,Queens,Corona
81_58.00,3.490175741,Queens,Ozone Park
47_888.00,3.483581414,Brooklyn,East Flatbush
47_412.00,3.482229112,Brooklyn,Gravesend
47_52.02,3.477002149,Brooklyn,Bay Ridge
61_291.00,3.475747626,Manhattan,Inwood
47_158.00,3.475668453,Brooklyn,Dyker Heights
47_156.00,3.473587719,Brooklyn,Dyker Heights
47_1182.02,3.465895246,Brooklyn,Cypress Hills
81_661.00,3.463963772,Queens,Middle Village
81_925.00,3.462391449,Queens,College Point
47_546.00,3.459902002,Brooklyn,Midwood
47_654.00,3.457840495,Brooklyn,Marine Park
47_276.00,3.451977278,Brooklyn,Bensonhurst
47_342.00,3.448377208,Brooklyn,Coney Island
81_633.02,3.444893823,Queens,Middle Village
47_396.00,3.428293911,Brooklyn,Homecrest
81_137.00,3.427116739,Queens,Astoria Heights
47_558.00,3.424955555,Brooklyn,Manhattan Terrace
81_679.00,3.421688651,Queens,Middle Village
81_454.00,3.421457207,Queens,Jamaica hills
47_128.01,3.421159094,Brooklyn,Dyker Heights
47_160.00,3.409744114,Brooklyn,Bay Ridge
81_132.00,3.407311885,Queens,Kew Gardens
81_741.00,3.405888502,Queens,Rego Park
81_1163.00,3.400930965,Queens,Murray Hill (Queens)
81_243.00,3.400229432,Queens,Elmhurst
81_998.00,3.393203955,Queens,Edgemere
47_535.00,3.382867221,Brooklyn,South Williamsburg
47_858.00,3.376843312,Brooklyn,East Flatbush
81_236.00,3.371019744,Queens,Briarwood
81_40.02,3.367931646,Queens,Ozone Park
47_62.00,3.36542429,Brooklyn,Bay Ridge
47_238.00,3.364312342,Brooklyn,Borough Park
47_860.00,3.363035198,Brooklyn,East Flatbush
81_1191.00,3.361058757,Queens,East Flushing
47_277.00,3.359824857,Brooklyn,Bedford Stuyvesant
81_1227.01,3.351553331,Queens,Pomonok
47_782.00,3.347786307,Brooklyn,Farragut
81_654.00,3.335503333,Queens,Rosedale
47_894.00,3.335258935,Brooklyn,Brownsville
81_855.00,3.331093114,Queens,Flushing
81_489.00,3.32362885,Queens,Elmhurst
61_247.00,3.317103334,Manhattan,Washington Heights
81_599.00,3.310866321,Queens,Maspeth
47_118.00,3.308814337,Brooklyn,Sunset Park
81_713.01,3.30736653,Queens,Rego Park
47_360.01,3.293094067,Brooklyn,Brighton Beach
81_552.00,3.281499449,Queens,Queens Village
47_474.00,3.2772647,Brooklyn,Borough Park
81_506.00,3.276806102,Queens,St. Albans
47_530.00,3.274907247,Brooklyn,Midwood
81_508.00,3.269958525,Queens,Hollis
61_120.00,3.267190169,Manhattan,Gold Coast - Upper East Side
47_56.01,3.266306557,Brooklyn,Bay Ridge
81_680.00,3.25774921,Queens,Brookville
47_826.00,3.256292178,Brooklyn,Flatbush
47_828.00,3.255487677,Brooklyn,Flatbush
47_436.00,3.254629191,Brooklyn,Bensonhurst
47_856.00,3.25280184,Brooklyn,East Flatbush
81_603.00,3.248212329,Queens,Maspeth
47_366.00,3.247240114,Brooklyn,Brighton Beach
47_1150.00,3.236515596,Brooklyn,East New York
47_230.00,3.23446304,Brooklyn,Borough Park
81_212.00,3.232498873,Queens,Jamaica
81_409.00,3.216303446,Queens,Corona
81_719.00,3.213960346,Queens,Rego Park
47_1024.00,3.213908693,Brooklyn,Canarsie
47_608.00,3.210264195,Brooklyn,Sheepshead Bay
47_870.00,3.209572252,Brooklyn,East Flatbush
47_876.00,3.209115145,Brooklyn,Wingate
81_583.00,3.208349694,Queens,Ridgewood
47_728.00,3.203066181,Brooklyn,Flatlands
47_148.00,3.201045177,Brooklyn,Dyker Heights
47_810.00,3.199460784,Brooklyn,Wingate
81_507.00,3.18665148,Queens,Middle Village
81_279.00,3.184312631,Queens,Jackson Heights
81_189.00,3.182841247,Queens,Long Island City
81_1175.00,3.178732475,Queens,Murray Hill (Queens)
47_116.00,3.174895344,Brooklyn,Sunset Park
47_622.00,3.174763925,Brooklyn,Sheepshead Bay
47_766.00,3.173800029,Brooklyn,Ditmas Park
47_534.00,3.173503943,Brooklyn,Midwood
81_245.00,3.173164076,Queens,Woodside
81_220.01,3.166577937,Queens,Briarwood
47_762.00,3.166402893,Brooklyn,Midwood
47_132.00,3.152690146,Brooklyn,Dyker Heights
81_665.00,3.151493282,Queens,Middle Village
81_399.00,3.150313623,Queens,Corona
47_430.00,3.145658721,Brooklyn,Bensonhurst
81_595.00,3.145478362,Queens,Ridgewood
47_1170.00,3.137306517,Brooklyn,Cypress Hills
81_779.02,3.133266858,Queens,Kew Gardens Hills
47_884.00,3.12986006,Brooklyn,East Flatbush
81_282.00,3.129335173,Queens,St. Albans
81_1133.00,3.129306874,Queens,Auburndale
81_87.00,3.122686688,Queens,Astoria
81_633.01,3.118061477,Queens,Middle Village
81_140.00,3.110101569,Queens,Kew Gardens
81_1265.00,3.10761485,Queens,Hillcrest
81_459.00,3.105573899,Queens,Elmhurst
81_1257.00,3.105028646,Queens,Kew Gardens Hills
81_690.00,3.104149242,Queens,Brookville
81_585.00,3.091057053,Queens,Ridgewood
47_320.00,3.089132651,Brooklyn,Gravesend
47_1188.00,3.088251858,Brooklyn,East New York
47_1098.00,3.085121575,Brooklyn,Canarsie
81_471.00,3.083903122,Queens,Elmhurst
47_940.00,3.080487007,Brooklyn,East Flatbush
47_942.00,3.080487007,Brooklyn,East Flatbush
81_687.00,3.079336828,Queens,Rego Park
61_277.00,3.076977957,Manhattan,Washington Heights
81_803.02,3.076777417,Queens,Kissena Park South
81_126.02,3.07457389,Queens,Richmond Hill
81_639.00,3.069716132,Queens,Middle Village
61_279.00,3.068690978,Manhattan,Washington Heights
81_1099.00,3.060964705,Queens,Auburndale
47_1146.00,3.058388979,Brooklyn,Cypress Hills
47_760.00,3.057148845,Brooklyn,Midwood
47_736.00,3.054687058,Brooklyn,Flatlands
47_806.00,3.051981577,Brooklyn,Wingate
47_968.00,3.044732927,Brooklyn,Canarsie
81_577.00,3.043311045,Queens,Glendale
81_44.02,3.036000357,Queens,Lindenwood
47_480.00,3.028423182,Brooklyn,Kennsington
81_232.00,3.020962933,Queens,Briarwood
47_296.00,3.009905435,Brooklyn,Gravesend
47_489.00,3.009484762,Brooklyn,East Williamsburg
47_294.00,3.008306793,Brooklyn,Gravesend
81_1617.00,3.008093549,Queens,Bellerose / Floral Park
47_496.00,3.003098516,Brooklyn,Kennsington
81_289.00,3.002105412,Queens,Jackson Heights
81_458.00,3.00139371,Queens,Jamaica Estates
81_377.00,2.996673063,Queens,Corona
81_947.00,2.995608784,Queens,College Point
